Job_Role,Skills
Data Scientist,"Python SQL Machine Learning Statistics Pandas NumPy"
Machine Learning Engineer,"Python TensorFlow PyTorch Deep Learning Docker"
AI Engineer,"Python TensorFlow NLP Deep Learning OpenCV"
Data Analyst,"Python SQL Excel Power BI Statistics"
Backend Developer,"Java Spring Boot SQL REST API Git"
Frontend Developer,"HTML CSS JavaScript React Bootstrap"
Full Stack Developer,"HTML CSS JavaScript React Node.js MongoDB"
Cloud Engineer,"AWS Azure Docker Kubernetes Linux"
DevOps Engineer,"Docker Kubernetes Jenkins Git Linux AWS"
Cyber Security Analyst,"Networking Linux Python Wireshark Security"
Android Developer,"Java Kotlin Android Firebase"
Software Engineer,"Java Python Git Data Structures Algorithms"
Database Administrator,"SQL MySQL PostgreSQL Database Backup"
Business Analyst,"Excel SQL Power BI Communication"
QA Engineer,"Selenium Java Testing Automation Git"
